Date,Month,Booster Event,Initial Liquidity & MM Fund,Private Sale,Public Sale,KOL Round,Marketing,Ecosystem Fund,Community,Total
2024/7/23,TGE,"1,000,000,000","300,000,000",0,"150,000,000","12,500,000",0,0,0,1462500000
2024/8/23,1,"1,000,000,000","300,000,000","29,166,666.67","225,000,000","31,250,000","41,666,666.67","104,166,666.67","41,666,666.67",1772916667
2024/9/23,2,"1,000,000,000","300,000,000","58,333,333.33","300,000,000","50,000,000","83,333,333.33","208,333,333.33","83,333,333.33",2083333333
2024/10/23,3,"2,000,000,000","300,000,000","87,500,000.00","300,000,000","50,000,000","125,000,000.00","312,500,000.00","125,000,000.00",3300000000
2024/11/23,4,"2,000,000,000","300,000,000","116,666,666.67","300,000,000","50,000,000","166,666,666.67","416,666,666.67","166,666,666.67",3516666667
2024/12/23,5,"2,000,000,000","300,000,000","145,833,333.33","300,000,000","50,000,000","208,333,333.33","520,833,333.33","208,333,333.33",3733333333
2025/1/23,6,"3,000,000,000","300,000,000","175,000,000.00","300,000,000","50,000,000","250,000,000.00","625,000,000.00","250,000,000.00",4950000000
2025/2/23,7,"3,000,000,000","300,000,000","204,166,666.67","300,000,000","50,000,000","291,666,666.67","729,166,666.67","291,666,666.67",5166666667
2025/3/23,8,"3,000,000,000","300,000,000","233,333,333.33","300,000,000","50,000,000","333,333,333.33","833,333,333.33","333,333,333.33",5383333333
2025/4/23,9,"4,000,000,000","300,000,000","262,500,000.00","300,000,000","50,000,000","375,000,000.00","937,500,000.00","375,000,000.00",6600000000
2025/5/23,10,"4,000,000,000","300,000,000","291,666,666.67","300,000,000","50,000,000","416,666,666.67","1,041,666,666.67","416,666,666.67",6816666667
2025/6/23,11,"4,000,000,000","300,000,000","320,833,333.33","300,000,000","50,000,000","458,333,333.33","1,145,833,333.33","458,333,333.33",7033333333
2025/7/23,12,"5,000,000,000","300,000,000","350,000,000.00","300,000,000","50,000,000","500,000,000.00","1,250,000,000.00","500,000,000.00",8250000000
2025/8/23,13,"5,000,000,000","300,000,000","350,000,000.00","300,000,000","50,000,000","500,000,000.00","1,354,166,666.67","541,666,666.67",8395833333
2025/9/23,14,"5,000,000,000","300,000,000","350,000,000.00","300,000,000","50,000,000","500,000,000.00","1,458,333,333.33","583,333,333.33",8541666667
2025/10/23,15,"5,000,000,000","300,000,000","350,000,000.00","300,000,000","50,000,000","500,000,000.00","1,562,500,000.00","625,000,000.00",8687500000
2025/11/23,16,"5,000,000,000","300,000,000","350,000,000.00","300,000,000","50,000,000","500,000,000.00","1,666,666,666.67","666,666,666.67",8833333333
2025/12/23,17,"5,000,000,000","300,000,000","350,000,000.00","300,000,000","50,000,000","500,000,000.00","1,770,833,333.33","708,333,333.33",8979166667
2026/1/23,18,"5,000,000,000","300,000,000","350,000,000.00","300,000,000","50,000,000","500,000,000.00","1,875,000,000.00","750,000,000.00",9125000000
2026/2/23,19,"5,000,000,000","300,000,000","350,000,000.00","300,000,000","50,000,000","500,000,000.00","1,979,166,666.67","791,666,666.67",9270833333
2026/3/23,20,"5,000,000,000","300,000,000","350,000,000.00","300,000,000","50,000,000","500,000,000.00","2,083,333,333.33","833,333,333.33",9416666667
2026/4/23,21,"5,000,000,000","300,000,000","350,000,000.00","300,000,000","50,000,000","500,000,000.00","2,187,500,000.00","875,000,000.00",9562500000
2026/5/23,22,"5,000,000,000","300,000,000","350,000,000.00","300,000,000","50,000,000","500,000,000.00","2,291,666,666.67","916,666,666.67",9708333333
2026/6/23,23,"5,000,000,000","300,000,000","350,000,000.00","300,000,000","50,000,000","500,000,000.00","2,395,833,333.33","958,333,333.33",9854166667
2026/7/23,24,"5,000,000,000","300,000,000","350,000,000.00","300,000,000","50,000,000","500,000,000.00","2,500,000,000.00","1,000,000,000.00",10000000000
